en,es
Press E or I to advance to the next word/image.,Pulsa E o I para avanzar a la siguiente palabra.
Correct mistakes by pressing the other key.,Corrige los errores pulsando la otra tecla.
Correct errors by hitting the other key.,Corrige errores apretando la otra tecla.
The label/item colors may help you identify the appropriate category.,Los colores de la etiqueta/ítem pueden ayudarte a identificar la categoría adecuada.
Correct errors by pressing the other key.,Corrige errores apretando la otra tecla.
Your web browser encountered an issue running this portion of the study. You will be skipped ahead. You may have to click through this message several times.,Tu navegador web encontró un problema al ejecutar esta parte del estudio. Serás adelantado/a. Es posible que tengas que hacer clic en este mensaje varias veces. 
Loading all the content,Cargando todo el contenido
This should take less than 1 minute,Esto debería tardar menos de 1 minuto
"Instructions: Place your left and right index fingers on the <span style=\""font-weight: strong\"">E<\/span> and <span style=\""font-weight: strong\"">I<\/span> keys. At the top of the screen are 2 categories. In the task, words and/or images appear in the middle of the screen. <br><br>When the word/image belongs to the category on the left, press the <span style=\""font-weight: bold\"">E<\/span> key as fast as you can. When it belongs to the category on the right, press the <span style=\""font-weight: bold\"">I<\/span> key as fast as you can. If you make an error, a red <span style=\""font-weight: bold; color: red\"">X<\/span> will appear.","Instrucciones: Sitúa tus dedos índices izquierdo y derecho sobre las teclas <span style=\""font-weight: strong\"">E<\/span> e <span style=\""font-weight: strong\"">I<\/span>. En la parte superior de la pantalla hay 2 categorías. En la tarea, palabras y/o imágenes aparecen en el centro de la pantalla. <br><br>Cuando la palabra/imagen pertenezca a la categoría de la izquierda, presiona la tecla <span style=\""font-weight: bold\"">E<\/span> tan rápido como puedas. Cuando pertenezca a la categoría de la derecha, presiona la tecla <span style=\""font-weight: bold\"">I<\/span> tan rápido como puedas. Si cometes un error, una <span style=\""font-weight: bold; color: red\"">X<\/span> roja aparecerá."
Please try to go as <em>fast as you can<\/em> while making as few errors as possible.,"Por favor, intenta ir <em>tan rápido como puedas<\/em> y cometer el menor número de errores."
"When you are ready, please press the [Space] bar to begin.",Cuando estes preparado/a pulsa la barra espaciadora [Space] para empezar.
Part 1 of 7,Parte 1 de 7
"Now, the categories have changed, but the rules remain the same.","Ahora, las categorías han cambiado, pero las reglas siguen siendo las mismas."
Part 2 of 7,Parte 2 de 7
\tor,\to
"Now the four categories you saw separately will appear together. Remember, each word/image fits in only one of the four categories.","Ahora, las cuatro categorías que has visto por separado aparecerán juntas. Recuerda, cada palabra/imagen encaja en solo una de las cuatro categorías."
"Use the <span style=\""font-weight: bold\"">E<\/span> key for the two categories on the left and the <span style=\""font-weight: bold\"">I<\/span> key for the two categories on the right. Again, try to go as fast as possible without making mistakes.","Usa la tecla <span style=\""font-weight: bold\"">E<\/span> para las dos categorías de la izquierda y la tecla <span style=\""font-weight: bold\"">I<\/span> para las dos categorías de la derecha. De nuevo, intenta ir lo más rápido que puedas sin cometer fallos."
Practice this combination now.,Práctica con esta combinación ahora.
Part 3 of 7,Parte 3 de 7
"Please continue the task as you were just doing it. Again, try to go as fast as possible without making mistakes.","Por favor, continúa con la tarea como lo estabas haciendo. Una vez más, intenta ir tan rápido como sea posible sin cometer errores."
Part 4 of 7,Parte 4 de 7
Notice the categories from before have switched sides. Please practice this new configuration now. Remember to try to go as <em>fast as you can<\/em> while making as few errors as possible.,"Observa que las categorías de antes han cambiado de lado. Por favor, practica esta nueva configuración ahora. Recuerda intentar ir <em>lo más rápido posible<\/em> comentiendo tan pocos errores como sea posible."
Part 5 of 7,Parte 5 de 7
"Notice the four categories have been combined again, but in a new configuration. Please practice this combination now, and remember to go as fast as you can while making as few mistakes as possible.","Observa que las cuatro categorías se han combinado de nuevo, pero en una nueva configuración. Por favor, practica esta combinación ahora, y recuerda ir tan rápido como puedas mientras cometes la menor cantidad de errores posible."
Part 6 of 7,Parte 6 de 7
"Please continue the task as you were just doing it, and remember to go as fast as you can while making as few mistakes as possible.","Por favor, continúa con la tarea como lo estabas haciendo, y recuerda ir tan rápido como puedas mientras cometes la menor cantidad de errores posible."
Part 7 of 7,Parte 7 de 7
The survey software has detected that you are attempting to take this survey from an incompatible device. The survey contains questions that will only function correctly on a computer with a keyboard. Please open this survey from a computer with a keyboard.,"El software de la encuesta ha detectado que estás intentando realizar esta encuesta desde un dispositivo incompatible. La encuesta contiene preguntas que solo funcionarán correctamente en una computadora con teclado. Por favor, abre esta encuesta desde una computadora con teclado."
